Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_294_533,VGND,li1,253.4600,810.5600,0.000093
FILLER_294_529,VGND,li1,249.5500,810.5600,0.000093
FILLER_294_517,VGND,li1,246.1000,810.5600,0.000093
FILLER_294_505,VGND,li1,240.5800,810.5600,0.000092
FILLER_294_501,VGND,li1,236.6700,810.5600,0.000092
FILLER_294_489,VGND,li1,233.2200,810.5600,0.000091
FILLER_294_477,VGND,li1,227.7000,810.5600,0.000091
FILLER_294_473,VGND,li1,223.7900,810.5600,0.000091
FILLER_294_461,VGND,li1,220.3400,810.5600,0.000090
FILLER_294_449,VGND,li1,214.8200,810.5600,0.000090
FILLER_294_445,VGND,li1,210.9100,810.5600,0.000089
FILLER_294_433,VGND,li1,207.4600,810.5600,0.000089
FILLER_294_421,VGND,li1,201.9400,810.5600,0.000089
FILLER_294_417,VGND,li1,198.0300,810.5600,0.000088
FILLER_294_405,VGND,li1,194.5800,810.5600,0.000088
FILLER_294_393,VGND,li1,189.0600,810.5600,0.000088
FILLER_294_391,VGND,li1,185.6100,810.5600,0.000087
FILLER_294_385,VGND,li1,184.0000,810.5600,0.000087
FILLER_294_373,VGND,li1,179.8600,810.5600,0.000087
FILLER_294_361,VGND,li1,172.2700,810.5600,0.000145
FILLER_294_351,VGND,li1,167.4400,810.5600,0.000179
FILLER_294_337,VGND,li1,161.0000,810.5600,0.000221
FILLER_294_333,VGND,li1,159.3900,810.5600,0.000221
FILLER_294_309,VGND,li1,148.1200,810.5600,0.000282
FILLER_294_281,VGND,li1,135.0100,810.5600,0.000323
FILLER_294_279,VGND,li1,134.0900,810.5600,0.000323
FILLER_294_267,VGND,li1,128.5700,810.5600,0.000335
FILLER_294_253,VGND,li1,122.5900,810.5600,0.000343
FILLER_294_230,VGND,li1,111.5500,810.5600,0.000345
FILLER_294_225,VGND,li1,109.4800,810.5600,0.000345
FILLER_294_223,VGND,li1,108.3300,810.5600,0.000344
FILLER_294_217,VGND,li1,106.0300,810.5600,0.000343
FILLER_294_209,VGND,li1,103.5000,810.5600,0.000343
FILLER_294_197,VGND,li1,98.9000,810.5600,0.000341
FILLER_294_193,VGND,li1,94.9900,810.5600,0.000339
FILLER_294_181,VGND,li1,91.5400,810.5600,0.000338
FILLER_294_177,VGND,li1,87.1700,810.5600,0.000337
FILLER_294_162,VGND,li1,80.5000,810.5600,0.000333
FILLER_294_148,VGND,li1,74.0600,810.5600,0.000324
FILLER_294_139,VGND,li1,69.6900,810.5600,0.000313
FILLER_294_113,VGND,li1,57.9600,810.5600,0.000276
FILLER_294_85,VGND,li1,44.8500,810.5600,0.000210
FILLER_294_81,VGND,li1,43.4700,810.5600,0.000210
FILLER_294_63,VGND,li1,34.7300,810.5600,0.000152
FILLER_294_57,VGND,li1,33.1200,810.5600,0.000136
FILLER_294_53,VGND,li1,30.5900,810.5600,0.000114
FILLER_294_41,VGND,li1,27.1400,810.5600,0.000093
FILLER_294_29,VGND,li1,21.6200,810.5600,0.000077
FILLER_294_27,VGND,li1,18.1700,810.5600,0.000077
FILLER_294_15,VGND,li1,15.1800,810.5600,0.000077
FILLER_294_3,VGND,li1,9.6600,810.5600,0.000077
FILLER_293_1737,VGND,li1,805.9200,810.5600,0.000001
