Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_294_177,VPWR,li1,87.1700,813.2800,1.799742
FILLER_294_162,VPWR,li1,80.5000,813.2800,1.799743
FILLER_294_148,VPWR,li1,74.0600,813.2800,1.799749
FILLER_294_139,VPWR,li1,69.6900,813.2800,1.799754
FILLER_294_113,VPWR,li1,57.9600,813.2800,1.799779
FILLER_294_85,VPWR,li1,44.8500,813.2800,1.799829
FILLER_294_81,VPWR,li1,43.4700,813.2800,1.799829
FILLER_294_63,VPWR,li1,34.7300,813.2800,1.799881
FILLER_294_57,VPWR,li1,33.1200,813.2800,1.799881
FILLER_294_53,VPWR,li1,30.5900,813.2800,1.799895
FILLER_294_41,VPWR,li1,27.1400,813.2800,1.799914
FILLER_294_29,VPWR,li1,21.6200,813.2800,1.799945
FILLER_294_27,VPWR,li1,18.1700,813.2800,1.799945
FILLER_294_15,VPWR,li1,15.1800,813.2800,1.799945
FILLER_294_3,VPWR,li1,9.6600,813.2800,1.799945
FILLER_293_1737,VPWR,li1,805.9200,807.8400,1.800000
FILLER_293_1735,VPWR,li1,803.8500,807.8400,1.800000
FILLER_293_1729,VPWR,li1,802.2400,807.8400,1.800000
FILLER_293_1717,VPWR,li1,798.1000,807.8400,1.800000
FILLER_293_1705,VPWR,li1,792.5800,807.8400,1.800000
FILLER_293_1693,VPWR,li1,787.0600,807.8400,1.799999
FILLER_293_1681,VPWR,li1,781.5400,807.8400,1.799999
FILLER_293_1679,VPWR,li1,778.0900,807.8400,1.799999
FILLER_293_1673,VPWR,li1,776.4800,807.8400,1.799999
FILLER_293_1661,VPWR,li1,772.3400,807.8400,1.799999
FILLER_293_1649,VPWR,li1,766.8200,807.8400,1.799999
FILLER_293_1637,VPWR,li1,761.3000,807.8400,1.799998
FILLER_293_1625,VPWR,li1,755.7800,807.8400,1.799998
FILLER_293_1623,VPWR,li1,752.3300,807.8400,1.799998
FILLER_293_1617,VPWR,li1,750.7200,807.8400,1.799998
FILLER_293_1605,VPWR,li1,746.5800,807.8400,1.799998
FILLER_293_1593,VPWR,li1,741.0600,807.8400,1.799997
FILLER_293_1581,VPWR,li1,735.5400,807.8400,1.799997
FILLER_293_1569,VPWR,li1,730.0200,807.8400,1.799997
FILLER_293_1567,VPWR,li1,726.5700,807.8400,1.799997
FILLER_293_1561,VPWR,li1,724.9600,807.8400,1.799997
FILLER_293_1549,VPWR,li1,720.8200,807.8400,1.799997
FILLER_293_1537,VPWR,li1,715.3000,807.8400,1.799996
FILLER_293_1525,VPWR,li1,709.7800,807.8400,1.799996
FILLER_293_1513,VPWR,li1,704.2600,807.8400,1.799996
FILLER_293_1511,VPWR,li1,700.8100,807.8400,1.799996
FILLER_293_1505,VPWR,li1,699.2000,807.8400,1.799996
FILLER_293_1493,VPWR,li1,695.0600,807.8400,1.799995
FILLER_293_1481,VPWR,li1,689.5400,807.8400,1.799995
FILLER_293_1469,VPWR,li1,684.0200,807.8400,1.799995
FILLER_293_1457,VPWR,li1,678.5000,807.8400,1.799995
FILLER_293_1455,VPWR,li1,675.0500,807.8400,1.799994
FILLER_293_1449,VPWR,li1,673.4400,807.8400,1.799994
FILLER_293_1437,VPWR,li1,669.3000,807.8400,1.799994
FILLER_293_1425,VPWR,li1,663.7800,807.8400,1.799994
FILLER_293_1413,VPWR,li1,658.2600,807.8400,1.799994
FILLER_293_1401,VPWR,li1,652.7400,807.8400,1.799993
FILLER_293_1399,VPWR,li1,649.2900,807.8400,1.799993
FILLER_293_1393,VPWR,li1,647.6800,807.8400,1.799993
FILLER_293_1381,VPWR,li1,643.5400,807.8400,1.799993
FILLER_293_1369,VPWR,li1,638.0200,807.8400,1.799993
FILLER_293_1357,VPWR,li1,632.5000,807.8400,1.799991
FILLER_293_1345,VPWR,li1,626.9800,807.8400,1.799987
FILLER_293_1343,VPWR,li1,623.5300,807.8400,1.799983
FILLER_293_1337,VPWR,li1,621.9200,807.8400,1.799983
FILLER_293_1325,VPWR,li1,617.7800,807.8400,1.799979
FILLER_293_1313,VPWR,li1,612.2600,807.8400,1.799974
FILLER_293_1301,VPWR,li1,606.7400,807.8400,1.799971
FILLER_293_1289,VPWR,li1,601.2200,807.8400,1.799967
FILLER_293_1287,VPWR,li1,597.7700,807.8400,1.799963
FILLER_293_1281,VPWR,li1,596.1600,807.8400,1.799963
FILLER_293_1269,VPWR,li1,592.0200,807.8400,1.799959
FILLER_293_1257,VPWR,li1,586.5000,807.8400,1.799954
FILLER_293_1245,VPWR,li1,580.9800,807.8400,1.799951
FILLER_293_1233,VPWR,li1,575.4600,807.8400,1.799947
FILLER_293_1231,VPWR,li1,572.0100,807.8400,1.799943
FILLER_293_1225,VPWR,li1,570.4000,807.8400,1.799943
FILLER_293_1213,VPWR,li1,566.2600,807.8400,1.799939
FILLER_293_1177,VPWR,li1,548.7800,807.8400,1.799932
FILLER_293_1175,VPWR,li1,546.2500,807.8400,1.799932
FILLER_293_1169,VPWR,li1,544.6400,807.8400,1.799932
FILLER_293_1157,VPWR,li1,540.5000,807.8400,1.799932
FILLER_293_1145,VPWR,li1,534.9800,807.8400,1.799932
FILLER_293_1133,VPWR,li1,529.4600,807.8400,1.799931
FILLER_293_1121,VPWR,li1,523.9400,807.8400,1.799931
FILLER_293_1119,VPWR,li1,520.4900,807.8400,1.799931
FILLER_293_1113,VPWR,li1,518.8800,807.8400,1.799931
FILLER_293_1101,VPWR,li1,514.7400,807.8400,1.799931
FILLER_293_1089,VPWR,li1,509.2200,807.8400,1.799931
FILLER_293_1077,VPWR,li1,503.7000,807.8400,1.799931
FILLER_293_1065,VPWR,li1,498.1800,807.8400,1.799931
FILLER_293_1062,VPWR,li1,494.5000,807.8400,1.799931
FILLER_293_1050,VPWR,li1,491.2800,807.8400,1.799931
