net,length_um
chacha_unit.U_QR_COL_0.in_a\[11\],579.81µm
chacha_unit.U_QR_COL_2.in_c\[22\],579.38µm
net646,578.84µm
chacha_unit.U_QR_COL_0.in_b\[19\],578.14µm
chacha_unit.U_QR_COL_0.in_c\[15\],577.615µm
_06477_,575.12µm
_12889_,574.88µm
_07722_,574.09µm
chacha_unit.key\[11\],573.12µm
chacha_unit.U_QR_COL_0.in_c\[7\],572.5µm
_07288_,572.42µm
_15336_,572.4µm
chacha_unit.U_QR_COL_1.in_a\[8\],571.92µm
chacha_unit.U_QR_COL_0.in_b\[24\],570.59µm
net560,569.21µm
_08589_,567.04µm
_12580_,564.66µm
chacha_unit.U_QR_COL_1.in_a\[0\],563.79µm
chacha_unit.U_QR_COL_0.in_a\[9\],563.63µm
chacha_unit.U_QR_COL_3.in_d\[10\],563.29µm
chacha_unit.U_QR_COL_0.in_c\[6\],560.95µm
chacha_unit.U_QR_COL_0.in_a\[1\],559.53µm
_08156_,559.49µm
chacha_unit.U_QR_COL_0.in_b\[22\],559.285µm
_08806_,559.07µm
net731,558.8µm
net1162,558.24µm
chacha_unit.U_QR_COL_1.in_a\[29\],557.38µm
_06838_,556.72µm
net786,556.34µm
chacha_unit.U_QR_COL_0.in_a\[3\],556.06µm
chacha_unit.U_QR_COL_2.in_b\[3\],555.99µm
chacha_unit.U_QR_COL_3.in_c\[24\],555.44µm
chacha_unit.U_QR_COL_3.in_b\[13\],555.01µm
chacha_unit.U_QR_COL_0.in_a\[7\],554.88µm
chacha_unit.U_QR_COL_2.in_c\[13\],554.81µm
net429,554.33µm
chacha_unit.U_QR_COL_0.in_b\[28\],554.09µm
chacha_unit.U_QR_COL_0.in_b\[23\],552.98µm
chacha_unit.U_QR_COL_2.in_c\[24\],552.73µm
clknet_5_19__leaf_clk,549.12µm
_06915_,547.08µm
chacha_unit.U_QR_COL_2.in_b\[2\],546.62µm
chacha_unit.U_QR_COL_3.in_c\[6\],546.35µm
net1086,545.43µm
chacha_unit.U_QR_COL_3.in_d\[15\],545.035µm
_06906_,544.375µm
net782,544.35µm
net1068,544.25µm
net1245,544.05µm
net717,543.56µm
_11393_,543.27µm
_11394_,542.58µm
_06413_,542.5µm
chacha_unit.U_QR_COL_2.in_b\[15\],541.01µm
chacha_unit.U_QR_COL_0.in_a\[16\],540.99µm
chacha_unit.U_QR_COL_3.in_d\[1\],539.755µm
chacha_unit.U_QR_COL_3.in_d\[0\],539.38µm
net1736,538.96µm
chacha_unit.U_QR_COL_0.in_a\[4\],538.84µm
chacha_unit.U_QR_COL_1.in_a\[25\],538.56µm
net555,538.27µm
net1369,538.09µm
chacha_unit.U_QR_COL_0.in_a\[5\],537.82µm
_06729_,535.8µm
net845,535.41µm
chacha_unit.U_QR_COL_1.in_b\[11\],535.36µm
net649,534.18µm
chacha_unit.U_QR_COL_0.in_b\[21\],534.04µm
_06236_,533.87µm
net909,533.32µm
chacha_unit.U_QR_COL_1.in_b\[0\],533.15µm
net559,533.13µm
chacha_unit.key\[168\],532.98µm
net567,530.74µm
net884,530.01µm
clknet_5_22__leaf_clk,529.9µm
net603,529.03µm
chacha_unit.U_QR_COL_0.in_c\[17\],528.66µm
net1940,528.06µm
net1271,527.3µm
chacha_unit.key\[9\],527.02µm
chacha_unit.U_QR_COL_3.in_d\[9\],524.925µm
chacha_unit.U_QR_COL_1.in_b\[5\],524.73µm
chacha_unit.U_QR_COL_2.in_c\[23\],523.81µm
net1305,522.38µm
_05103_,521.83µm
chacha_unit.U_QR_COL_0.in_c\[14\],519.755µm
_07106_,519.52µm
chacha_unit.U_QR_COL_2.in_b\[24\],518.84µm
chacha_unit.nonce\[41\],518.71µm
chacha_unit.U_QR_COL_1.in_a\[17\],518.41µm
chacha_unit.U_QR_COL_1.in_a\[20\],518.32µm
chacha_unit.U_QR_COL_3.in_d\[29\],518.165µm
chacha_unit.U_QR_COL_3.in_c\[4\],518.07µm
_06737_,517.73µm
chacha_unit.key\[7\],517.2µm
_05992_,516.77µm
chacha_unit.U_QR_COL_0.in_c\[4\],516.355µm
chacha_unit.U_QR_COL_0.in_c\[18\],515.39µm
_05789_,514.72µm
chacha_unit.U_QR_COL_0.in_c\[16\],514.55µm
net868,514.24µm
_06507_,513.85µm
_06268_,513.67µm
chacha_unit.U_QR_COL_3.in_d\[14\],513.15µm
_11388_,513.12µm
chacha_unit.U_QR_COL_2.in_b\[4\],512.16µm
net940,511.795µm
net1052,511.79µm
clknet_5_24__leaf_clk,510.87µm
chacha_unit.U_QR_COL_3.in_b\[12\],510.835µm
clknet_5_13__leaf_clk,510.78µm
chacha_unit.U_QR_COL_3.in_d\[13\],510.59µm
net854,510.36µm
_10589_,510.34µm
chacha_unit.U_QR_COL_2.in_b\[25\],509.92µm
chacha_unit.U_QR_COL_0.in_c\[19\],509.25µm
chacha_unit.U_QR_COL_1.in_a\[19\],509.2µm
net566,507.08µm
chacha_unit.key\[13\],506.69µm
chacha_unit.nonce\[40\],506.595µm
_03656_,505.9µm
net602,505.8µm
chacha_unit.U_QR_COL_1.in_a\[18\],505.41µm
net891,505.37µm
chacha_unit.U_QR_COL_3.in_c\[5\],504.875µm
_04657_,504.39µm
net1085,503.84µm
chacha_unit.key\[170\],503.77µm
clknet_5_25__leaf_clk,503.38µm
chacha_unit.key\[0\],502.9µm
net708,502.77µm
net1019,502.53µm
chacha_unit.U_QR_COL_3.in_c\[30\],501.8µm
net685,501.15µm
chacha_unit.key\[160\],500.23µm
_06251_,500.19µm
chacha_unit.U_QR_COL_0.in_a\[15\],499.94µm
net729,499.8µm
chacha_unit.U_QR_COL_0.in_a\[12\],498.38µm
_06030_,497.92µm
net1322,497.65µm
net888,497.485µm
chacha_unit.U_QR_COL_1.in_b\[6\],497.22µm
_10587_,496.4µm
chacha_unit.U_QR_COL_2.in_c\[26\],496.005µm
net1644,495.89µm
net705,495.61µm
net775,495.06µm
chacha_unit.U_QR_COL_1.in_a\[21\],494.3µm
net700,494.2µm
net523,493.76µm
_15185_,492.84µm
_06910_,492.38µm
chacha_unit.key\[8\],492.16µm
net577,491.94µm
net528,491.73µm
clknet_5_3__leaf_clk,491.5µm
net549,490.995µm
net1244,490.35µm
net1026,489.38µm
net1258,489.3µm
net527,489.16µm
net1051,489.025µm
chacha_unit.U_QR_COL_0.in_a\[14\],488.85µm
chacha_unit.U_QR_COL_2.in_b\[19\],488.15µm
net1741,488.12µm
net524,487.54µm
_06753_,487.16µm
net1727,486.18µm
chacha_unit.nonce\[42\],484.36µm
net676,483.8µm
clknet_5_12__leaf_clk,483.76µm
net825,483.66µm
_06741_,483.49µm
chacha_unit.U_QR_COL_3.in_c\[29\],483.29µm
net675,482.93µm
_06015_,482.65µm
net1649,482.15µm
net797,479.97µm
_06519_,479.68µm
net158,479.58µm
chacha_unit.U_QR_COL_1.in_a\[26\],479.5µm
net184,478.92µm
net866,478.11µm
_15137_,477.92µm
_12581_,477.44µm
clknet_5_17__leaf_clk,476.58µm
_06528_,475.01µm
net1754,474.44µm
net542,474.16µm
_14490_,471.47µm
clknet_5_26__leaf_clk,469.88µm
net157,469.81µm
chacha_unit.U_QR_COL_1.in_a\[24\],469.16µm
net630,468.84µm
chacha_unit.U_QR_COL_0.in_b\[30\],468.54µm
chacha_unit.U_QR_COL_1.in_a\[28\],468.1µm
net789,467.82µm
net183,467.685µm
chacha_unit.U_QR_COL_2.in_b\[13\],467.68µm
chacha_unit.key\[124\],467.29µm
clknet_5_5__leaf_clk,467.21µm
_12584_,467µm
net185,466.59µm
net578,465.99µm
chacha_unit.U_QR_COL_1.in_b\[8\],465.945µm
