net,length_um
_07474_,9.56µm
_14029_,9.56µm
net2202,9.56µm
_00507_,9.54µm
_02374_,9.54µm
_03462_,9.54µm
_08046_,9.54µm
_13331_,9.54µm
_14587_,9.54µm
_07742_,9.53µm
_09762_,9.53µm
_00990_,9.52µm
_02134_,9.52µm
_02831_,9.52µm
_02921_,9.52µm
_03441_,9.52µm
_04247_,9.52µm
_04852_,9.52µm
_05358_,9.52µm
_05988_,9.52µm
_06473_,9.52µm
_07353_,9.52µm
_08333_,9.52µm
_09685_,9.52µm
_10070_,9.52µm
_10815_,9.52µm
_11191_,9.52µm
_11598_,9.52µm
_13814_,9.52µm
_14434_,9.52µm
temp_nonce\[39\],9.52µm
net91,9.52µm
net2720,9.52µm
net3053,9.52µm
_06203_,9.5µm
_07669_,9.5µm
_09217_,9.5µm
_09250_,9.5µm
_09450_,9.5µm
_11133_,9.5µm
_12216_,9.5µm
_14298_,9.5µm
chacha_unit.original\[11\]\[17\],9.5µm
chacha_unit.original\[13\]\[13\],9.5µm
chacha_unit.original\[15\]\[4\],9.5µm
chacha_unit.original\[3\]\[22\],9.5µm
chacha_unit.original\[3\]\[24\],9.5µm
chacha_unit.original\[5\]\[17\],9.5µm
chacha_unit.original\[7\]\[12\],9.5µm
chacha_unit.original\[8\]\[28\],9.5µm
net4112,9.5µm
_02182_,9.48µm
_03162_,9.48µm
_03659_,9.48µm
_05859_,9.48µm
_06654_,9.48µm
_06695_,9.48µm
_08012_,9.48µm
_08291_,9.48µm
_09119_,9.48µm
_09598_,9.48µm
_09985_,9.48µm
_10140_,9.48µm
_10267_,9.48µm
_12305_,9.48µm
_12721_,9.48µm
_12806_,9.48µm
_14257_,9.48µm
_15413_,9.48µm
chacha_unit.nonce\[35\],9.48µm
chacha_unit.nonce\[66\],9.48µm
chacha_unit.original\[8\]\[4\],9.48µm
chacha_unit.plaintext\[253\],9.48µm
net1913,9.48µm
net2408,9.48µm
net3370,9.48µm
net3730,9.48µm
_02763_,9.465µm
_05123_,9.46µm
_05277_,9.46µm
_05950_,9.46µm
_06491_,9.46µm
_07306_,9.46µm
_07332_,9.46µm
_07888_,9.46µm
_07922_,9.46µm
_08359_,9.46µm
_10283_,9.46µm
_12392_,9.46µm
_13816_,9.46µm
_15495_,9.46µm
chacha_unit.ciphertext\[261\],9.46µm
chacha_unit.ciphertext\[75\],9.46µm
_07340_,9.455µm
_02283_,9.44µm
_03253_,9.44µm
_04577_,9.44µm
_05569_,9.44µm
_08144_,9.44µm
_08150_,9.44µm
_08472_,9.44µm
_09171_,9.44µm
_09413_,9.44µm
_09931_,9.44µm
_09987_,9.44µm
_10188_,9.44µm
_10415_,9.44µm
_11550_,9.44µm
_11575_,9.44µm
_12277_,9.44µm
_15414_,9.44µm
_15578_,9.44µm
_04865_,9.42µm
_07972_,9.42µm
_12196_,9.42µm
_13244_,9.42µm
_14144_,9.42µm
chacha_unit.original\[4\]\[14\],9.42µm
out_state_word[31],9.42µm
temp_key\[27\],9.42µm
_00399_,9.4µm
_03421_,9.4µm
_03914_,9.4µm
_05977_,9.4µm
_07489_,9.4µm
_07761_,9.4µm
_07780_,9.4µm
_07804_,9.4µm
_08997_,9.4µm
_10172_,9.4µm
_10323_,9.4µm
_10926_,9.4µm
_11040_,9.4µm
_11154_,9.4µm
_11408_,9.4µm
_15043_,9.4µm
_15053_,9.4µm
chacha_unit.original\[14\]\[16\],9.4µm
chacha_unit.original\[1\]\[4\],9.4µm
net1942,9.4µm
net2659,9.4µm
_03824_,9.39µm
_03104_,9.38µm
_03318_,9.38µm
_03657_,9.38µm
_08280_,9.38µm
_10633_,9.38µm
_12275_,9.38µm
_13189_,9.38µm
_13194_,9.38µm
_13212_,9.38µm
chacha_unit.nonce\[5\],9.38µm
chacha_unit.original\[12\]\[11\],9.38µm
chacha_unit.original\[1\]\[8\],9.38µm
chacha_unit.plaintext\[294\],9.38µm
temp_key\[73\],9.38µm
_03265_,9.36µm
_03646_,9.36µm
_05784_,9.36µm
_06101_,9.36µm
_06793_,9.36µm
_06872_,9.36µm
_07599_,9.36µm
_07830_,9.36µm
_07866_,9.36µm
_08057_,9.36µm
_08474_,9.36µm
_08775_,9.36µm
_08865_,9.36µm
_09030_,9.36µm
_09496_,9.36µm
_09642_,9.36µm
_10020_,9.36µm
_10142_,9.36µm
_10220_,9.36µm
_11095_,9.36µm
_12087_,9.36µm
_13894_,9.36µm
_14098_,9.36µm
chacha_unit.ciphertext\[389\],9.36µm
chacha_unit.counter\[19\],9.36µm
chacha_unit.nonce\[56\],9.36µm
chacha_unit.original\[11\]\[1\],9.36µm
chacha_unit.original\[11\]\[5\],9.36µm
chacha_unit.original\[9\]\[10\],9.36µm
chacha_unit.plaintext\[311\],9.36µm
chacha_unit.plaintext\[432\],9.36µm
temp_key\[18\],9.36µm
net2160,9.36µm
net2897,9.36µm
net3254,9.36µm
net3917,9.36µm
_03311_,9.34µm
_04154_,9.34µm
_06388_,9.34µm
_06736_,9.34µm
_07195_,9.34µm
_07910_,9.34µm
_07968_,9.34µm
_09116_,9.34µm
_10058_,9.34µm
_10275_,9.34µm
_11507_,9.34µm
_11583_,9.34µm
chacha_unit.original\[13\]\[14\],9.34µm
chacha_unit.plaintext\[260\],9.34µm
chacha_unit.plaintext\[423\],9.34µm
temp_key\[186\],9.34µm
temp_key\[20\],9.34µm
temp_key\[41\],9.34µm
temp_nonce\[2\],9.34µm
temp_nonce\[71\],9.34µm
net1850,9.34µm
_02390_,9.325µm
_04326_,9.32µm
_06111_,9.32µm
_06450_,9.32µm
_07125_,9.32µm
_07671_,9.32µm
_09080_,9.32µm
_09752_,9.32µm
_10052_,9.32µm
_10659_,9.32µm
_14107_,9.32µm
chacha_unit.original\[7\]\[22\],9.32µm
net2827,9.32µm
net3930,9.32µm
net4099,9.32µm
net4220,9.32µm
_14056_,9.31µm
_00169_,9.3µm
_00702_,9.3µm
_00931_,9.3µm
_10198_,9.3µm
_12436_,9.3µm
_14043_,9.3µm
temp_key\[30\],9.3µm
net4200,9.3µm
_00579_,9.28µm
_01164_,9.28µm
_07471_,9.28µm
_07789_,9.28µm
_08105_,9.28µm
_08186_,9.28µm
_08460_,9.28µm
_08714_,9.28µm
_09549_,9.28µm
_11224_,9.28µm
_12077_,9.28µm
_12105_,9.28µm
_12293_,9.28µm
_12851_,9.28µm
chacha_unit.ciphertext\[249\],9.28µm
chacha_unit.ciphertext\[42\],9.28µm
chacha_unit.ciphertext\[440\],9.28µm
chacha_unit.plaintext\[205\],9.28µm
chacha_unit.plaintext\[37\],9.28µm
chunk[19],9.28µm
net2462,9.28µm
net2530,9.28µm
net4090,9.28µm
_03301_,9.275µm
_03586_,9.26µm
_05547_,9.26µm
_06230_,9.26µm
_07341_,9.26µm
_08602_,9.26µm
_11435_,9.26µm
_12222_,9.26µm
_14149_,9.26µm
_15564_,9.26µm
temp_nonce\[76\],9.26µm
temp_nonce\[93\],9.26µm
net3390,9.26µm
_06092_,9.245µm
_03733_,9.24µm
_06067_,9.24µm
_06603_,9.24µm
_07329_,9.24µm
_07368_,9.24µm
_07944_,9.24µm
_09566_,9.24µm
_09763_,9.24µm
_09825_,9.24µm
_10346_,9.24µm
_10436_,9.24µm
_11305_,9.24µm
_14356_,9.24µm
_15342_,9.24µm
_15415_,9.24µm
_15566_,9.24µm
chacha_unit.ciphertext\[380\],9.24µm
chacha_unit.original\[14\]\[29\],9.24µm
chacha_unit.original\[7\]\[11\],9.24µm
chacha_unit.plaintext\[431\],9.24µm
temp_key\[97\],9.24µm
_06012_,9.22µm
_07201_,9.22µm
net1970,9.22µm
net4011,9.22µm
_02668_,9.2µm
_04243_,9.2µm
_05595_,9.2µm
_06647_,9.2µm
_09135_,9.2µm
_10043_,9.2µm
_10064_,9.2µm
_13336_,9.2µm
_14128_,9.2µm
chacha_unit.ciphertext\[331\],9.2µm
chacha_unit.plaintext\[243\],9.2µm
net100,9.2µm
net2961,9.2µm
net3051,9.2µm
_00722_,9.18µm
_00857_,9.18µm
_00921_,9.18µm
_01046_,9.18µm
_02175_,9.18µm
_06007_,9.18µm
_08436_,9.18µm
_15070_,9.18µm
chunk_index[0],9.18µm
out_key_word[15],9.18µm
out_state_word[17],9.18µm
out_state_word[18],9.18µm
_00790_,9.16µm
_02851_,9.16µm
_06814_,9.16µm
_08120_,9.16µm
_08567_,9.16µm
_09650_,9.16µm
_10528_,9.16µm
_13256_,9.16µm
_13768_,9.16µm
_15054_,9.16µm
chacha_unit.ciphertext\[248\],9.16µm
chacha_unit.original\[14\]\[22\],9.16µm
net1939,9.16µm
net2696,9.16µm
net3261,9.16µm
net3812,9.16µm
net4229,9.16µm
_02581_,9.14µm
_05943_,9.14µm
chacha_unit.ciphertext\[453\],9.14µm
chacha_unit.nonce\[90\],9.14µm
chacha_unit.original\[14\]\[23\],9.14µm
chacha_unit.original\[1\]\[13\],9.14µm
chacha_unit.plaintext\[398\],9.14µm
_04040_,9.12µm
_04175_,9.12µm
_04710_,9.12µm
_04789_,9.12µm
_05913_,9.12µm
_06651_,9.12µm
_07958_,9.12µm
_08260_,9.12µm
_08446_,9.12µm
_08663_,9.12µm
_08851_,9.12µm
_09084_,9.12µm
_09453_,9.12µm
_09732_,9.12µm
_09797_,9.12µm
_10102_,9.12µm
_10360_,9.12µm
_13137_,9.12µm
_13310_,9.12µm
_13953_,9.12µm
_14560_,9.12µm
_14711_,9.12µm
_15122_,9.12µm
_15132_,9.12µm
chacha_unit.ciphertext\[196\],9.12µm
chacha_unit.ciphertext\[246\],9.12µm
chacha_unit.ciphertext\[40\],9.12µm
chacha_unit.ciphertext\[56\],9.12µm
chacha_unit.nonce\[26\],9.12µm
chacha_unit.original\[10\]\[2\],9.12µm
chacha_unit.original\[7\]\[5\],9.12µm
chacha_unit.plaintext\[235\],9.12µm
chacha_unit.plaintext\[337\],9.12µm
chacha_unit.plaintext\[355\],9.12µm
trng_data\[7\],9.12µm
net103,9.12µm
net136,9.12µm
clknet_leaf_41_clk,9.12µm
net4027,9.12µm
_00567_,9.1µm
_01020_,9.1µm
_02500_,9.1µm
_02891_,9.1µm
_07833_,9.1µm
_08251_,9.09µm
_01821_,9.085µm
_00373_,9.08µm
_02624_,9.08µm
_03405_,9.08µm
_09213_,9.08µm
_10378_,9.08µm
_10963_,9.08µm
_12198_,9.08µm
chacha_unit.ciphertext\[497\],9.08µm
chacha_unit.key\[235\],9.08µm
_00204_,9.065µm
_00026_,9.06µm
_00213_,9.06µm
_01390_,9.06µm
_02714_,9.06µm
_03930_,9.06µm
_04973_,9.06µm
_05242_,9.06µm
_05837_,9.06µm
_06087_,9.06µm
_07263_,9.06µm
_07956_,9.06µm
_08848_,9.06µm
_08914_,9.06µm
_09147_,9.06µm
_09351_,9.06µm
chacha_unit.counter\[17\],9.06µm
temp_nonce\[88\],9.06µm
net1928,9.06µm
net2841,9.06µm
net3219,9.06µm
net3273,9.06µm
net3819,9.06µm
_07243_,9.04µm
_08631_,9.04µm
_09586_,9.04µm
_14935_,9.04µm
chacha_unit.original\[10\]\[4\],9.04µm
chacha_unit.original\[11\]\[28\],9.04µm
chacha_unit.original\[4\]\[13\],9.04µm
chacha_unit.original\[5\]\[20\],9.04µm
chacha_unit.original\[9\]\[28\],9.04µm
chacha_unit.plaintext\[194\],9.04µm
chacha_unit.plaintext\[469\],9.04µm
net2812,9.04µm
_00868_,9.02µm
_01034_,9.02µm
_01096_,9.02µm
_05343_,9.02µm
_05795_,9.02µm
_06931_,9.02µm
_07936_,9.02µm
_08459_,9.02µm
_08464_,9.02µm
_08830_,9.02µm
_09031_,9.02µm
_09722_,9.02µm
_10465_,9.02µm
_11195_,9.02µm
_11302_,9.02µm
_12365_,9.02µm
_13146_,9.02µm
_14520_,9.02µm
_15365_,9.02µm
chacha_unit.key\[231\],9.02µm
temp_key\[101\],9.02µm
temp_key\[108\],9.02µm
temp_key\[252\],9.02µm
_09656_,9.015µm
_02214_,9µm
_03219_,9µm
_05667_,9µm
_06024_,9µm
_06118_,9µm
_07284_,9µm
_10304_,9µm
_12032_,9µm
_12964_,9µm
chacha_unit.ciphertext\[422\],9µm
chacha_unit.original\[3\]\[28\],9µm
net114,9µm
net1995,9µm
_01789_,8.985µm
_03198_,8.98µm
_03613_,8.98µm
_03849_,8.98µm
_05079_,8.98µm
_07802_,8.98µm
_07864_,8.98µm
_08320_,8.98µm
_08351_,8.98µm
_10150_,8.98µm
_10466_,8.98µm
_10509_,8.98µm
_11111_,8.98µm
_11631_,8.98µm
temp_nonce\[81\],8.98µm
trng_inst.shift_reg\[10\],8.98µm
net2158,8.98µm
_08282_,8.96µm
_08522_,8.96µm
_09172_,8.96µm
_10573_,8.96µm
out_key_word[26],8.96µm
out_key_word[27],8.96µm
out_key_word[3],8.96µm
out_state_word[27],8.96µm
out_state_word[28],8.96µm
net3965,8.96µm
_05875_,8.94µm
_06468_,8.94µm
_06556_,8.94µm
_06616_,8.94µm
_07526_,8.94µm
_08099_,8.94µm
_09507_,8.94µm
_09536_,8.94µm
_09557_,8.94µm
_09804_,8.94µm
_09866_,8.94µm
_10706_,8.94µm
_11522_,8.94µm
_13047_,8.94µm
_14015_,8.94µm
chacha_unit.original\[15\]\[29\],8.94µm
net92,8.94µm
net1792,8.94µm
net2480,8.94µm
net2870,8.94µm
net3084,8.94µm
net3163,8.94µm
net3489,8.94µm
net4044,8.94µm
net4180,8.94µm
net4210,8.94µm
_03016_,8.93µm
_00380_,8.92µm
_00496_,8.92µm
_00634_,8.92µm
_09855_,8.92µm
_10082_,8.92µm
_13306_,8.92µm
_13788_,8.92µm
_14632_,8.92µm
chacha_unit.original\[0\]\[2\],8.92µm
chacha_unit.original\[11\]\[20\],8.92µm
chacha_unit.original\[11\]\[22\],8.92µm
chacha_unit.original\[15\]\[10\],8.92µm
chacha_unit.original\[4\]\[7\],8.92µm
chacha_unit.original\[5\]\[16\],8.92µm
chacha_unit.plaintext\[300\],8.92µm
chacha_unit.plaintext\[455\],8.92µm
chacha_unit.plaintext\[99\],8.92µm
temp_nonce\[5\],8.92µm
net2305,8.92µm
net3009,8.92µm
net3291,8.92µm
_01023_,8.9µm
_04554_,8.9µm
_04924_,8.9µm
_05311_,8.9µm
_06674_,8.9µm
_07154_,8.9µm
_07377_,8.9µm
_07536_,8.9µm
_07645_,8.9µm
_08033_,8.9µm
_08613_,8.9µm
_09008_,8.9µm
_09262_,8.9µm
_09272_,8.9µm
_09336_,8.9µm
_09475_,8.9µm
_10097_,8.9µm
_11089_,8.9µm
_11774_,8.9µm
_12136_,8.9µm
_13179_,8.9µm
_14425_,8.9µm
_15175_,8.9µm
chacha_unit.ciphertext\[167\],8.9µm
chacha_unit.ciphertext\[419\],8.9µm
chacha_unit.plaintext\[125\],8.9µm
chacha_unit.plaintext\[332\],8.9µm
_05982_,8.88µm
_07287_,8.88µm
_07760_,8.88µm
_09354_,8.88µm
_11483_,8.88µm
_11698_,8.88µm
_12137_,8.88µm
_12385_,8.88µm
_13555_,8.88µm
chacha_unit.plaintext\[219\],8.88µm
chacha_unit.plaintext\[434\],8.88µm
temp_key\[50\],8.88µm
temp_nonce\[28\],8.88µm
_02116_,8.865µm
_03292_,8.86µm
_06855_,8.86µm
_07427_,8.86µm
_07490_,8.86µm
_07564_,8.86µm
_07942_,8.86µm
_08314_,8.86µm
_08376_,8.86µm
_09319_,8.86µm
_09811_,8.86µm
_13817_,8.86µm
_04833_,8.85µm
_00629_,8.84µm
_02463_,8.84µm
chacha_unit.original\[6\]\[13\],8.84µm
chacha_unit.plaintext\[108\],8.84µm
chacha_unit.plaintext\[257\],8.84µm
temp_key\[124\],8.84µm
net1924,8.84µm
_11881_,8.835µm
_05350_,8.82µm
_05751_,8.82µm
_06002_,8.82µm
_06113_,8.82µm
_06697_,8.82µm
_07139_,8.82µm
_07497_,8.82µm
_07964_,8.82µm
_08224_,8.82µm
_09322_,8.82µm
_09377_,8.82µm
_09576_,8.82µm
_09625_,8.82µm
_11151_,8.82µm
_11176_,8.82µm
_13769_,8.82µm
_15210_,8.82µm
chacha_unit.ciphertext\[449\],8.82µm
chacha_unit.ciphertext\[80\],8.82µm
chacha_unit.counter\[9\],8.82µm
chacha_unit.original\[5\]\[27\],8.82µm
chacha_unit.original\[6\]\[19\],8.82µm
chacha_unit.plaintext\[33\],8.82µm
chacha_unit.plaintext\[342\],8.82µm
chacha_unit.plaintext\[352\],8.82µm
chacha_unit.plaintext\[9\],8.82µm
temp_key\[187\],8.82µm
trng_data\[11\],8.82µm
net130,8.82µm
clknet_leaf_78_clk,8.82µm
net2295,8.82µm
net4047,8.82µm
_12345_,8.815µm
_04257_,8.8µm
_04463_,8.8µm
_04912_,8.8µm
_05528_,8.8µm
_07260_,8.8µm
_07572_,8.8µm
_08515_,8.8µm
_09266_,8.8µm
_10001_,8.8µm
_10356_,8.8µm
chacha_unit.plaintext\[380\],8.8µm
temp_key\[174\],8.8µm
temp_key\[71\],8.8µm
temp_key\[9\],8.8µm
net2741,8.8µm
net4091,8.8µm
_02747_,8.78µm
_04709_,8.78µm
_04729_,8.78µm
_05229_,8.78µm
_07065_,8.78µm
_08167_,8.78µm
_10071_,8.78µm
_10295_,8.78µm
_10392_,8.78µm
_10525_,8.78µm
_10597_,8.78µm
_11969_,8.78µm
_13279_,8.78µm
_13369_,8.78µm
_14697_,8.78µm
chacha_unit.ciphertext\[200\],8.78µm
chacha_unit.ciphertext\[221\],8.78µm
chacha_unit.ciphertext\[358\],8.78µm
chacha_unit.ciphertext\[365\],8.78µm
chacha_unit.ciphertext\[374\],8.78µm
chacha_unit.ciphertext\[68\],8.78µm
chacha_unit.original\[13\]\[10\],8.78µm
chacha_unit.original\[13\]\[18\],8.78µm
chacha_unit.plaintext\[148\],8.78µm
chacha_unit.plaintext\[305\],8.78µm
chacha_unit.plaintext\[507\],8.78µm
trng_data\[14\],8.78µm
_01897_,8.765µm
_00456_,8.76µm
_06229_,8.76µm
_07296_,8.76µm
_10247_,8.76µm
temp_key\[224\],8.76µm
net4038,8.76µm
net4085,8.76µm
net4193,8.76µm
_02536_,8.74µm
_02816_,8.74µm
_03627_,8.74µm
_04510_,8.74µm
_04571_,8.74µm
_05385_,8.74µm
_05593_,8.74µm
_11085_,8.74µm
_11873_,8.74µm
_13982_,8.74µm
chacha_unit.ciphertext\[364\],8.74µm
net132,8.74µm
_06273_,8.735µm
_07112_,8.72µm
_08234_,8.72µm
_08328_,8.72µm
_09827_,8.72µm
_11417_,8.72µm
_13069_,8.72µm
chacha_unit.original\[4\]\[12\],8.72µm
in_state_word[24],8.72µm
in_state_word[25],8.72µm
in_state_word[26],8.72µm
in_state_word[27],8.72µm
in_state_word[28],8.72µm
in_state_word[29],8.72µm
in_state_word[30],8.72µm
in_state_word[31],8.72µm
in_state_word[6],8.72µm
rst_n,8.72µm
net2442,8.72µm
net3265,8.72µm
net3434,8.72µm
_00589_,8.7µm
_03360_,8.7µm
_04410_,8.7µm
_05583_,8.7µm
_05687_,8.7µm
_06069_,8.7µm
_06410_,8.7µm
_07630_,8.7µm
_08572_,8.7µm
_08860_,8.7µm
_08901_,8.7µm
_09310_,8.7µm
_10258_,8.7µm
_10645_,8.7µm
_13201_,8.7µm
chacha_unit.ciphertext\[55\],8.7µm
chacha_unit.ciphertext\[69\],8.7µm
chacha_unit.counter\[11\],8.7µm
chacha_unit.original\[1\]\[18\],8.7µm
chacha_unit.original\[9\]\[5\],8.7µm
chacha_unit.plaintext\[106\],8.7µm
trng_data\[0\],8.7µm
net2456,8.7µm
net3114,8.7µm
net3589,8.7µm
_02709_,8.685µm
_00230_,8.68µm
_01151_,8.68µm
_01163_,8.68µm
_01450_,8.68µm
_01550_,8.68µm
_03189_,8.68µm
_09682_,8.68µm
_13488_,8.68µm
_13779_,8.68µm
net3245,8.68µm
_03699_,8.66µm
_04296_,8.66µm
_05028_,8.66µm
_06522_,8.66µm
_07355_,8.66µm
_07423_,8.66µm
_07994_,8.66µm
_08398_,8.66µm
_09082_,8.66µm
_09097_,8.66µm
_09366_,8.66µm
_09369_,8.66µm
_10255_,8.66µm
_10489_,8.66µm
chacha_unit.ciphertext\[139\],8.66µm
chacha_unit.ciphertext\[291\],8.66µm
chacha_unit.ciphertext\[391\],8.66µm
chacha_unit.original\[0\]\[18\],8.66µm
chacha_unit.original\[10\]\[15\],8.66µm
chacha_unit.original\[13\]\[26\],8.66µm
chacha_unit.original\[8\]\[26\],8.66µm
chacha_unit.plaintext\[223\],8.66µm
chacha_unit.plaintext\[281\],8.66µm
chacha_unit.plaintext\[287\],8.66µm
chacha_unit.plaintext\[303\],8.66µm
chacha_unit.plaintext\[85\],8.66µm
temp_key\[16\],8.66µm
temp_key\[31\],8.66µm
temp_key\[88\],8.66µm
temp_nonce\[29\],8.66µm
trng_data\[31\],8.66µm
trng_inst.shift_reg\[30\],8.66µm
net87,8.66µm
net117,8.66µm
net1892,8.66µm
_11403_,8.645µm
_00421_,8.64µm
_02644_,8.64µm
net3407,8.64µm
_03192_,8.63µm
_00019_,8.62µm
_00066_,8.62µm
_00883_,8.62µm
_02377_,8.62µm
_02833_,8.62µm
_02958_,8.62µm
_04248_,8.62µm
_05740_,8.62µm
_10238_,8.62µm
_10549_,8.62µm
_12186_,8.62µm
_13507_,8.62µm
temp_nonce\[48\],8.62µm
net3025,8.62µm
net3501,8.62µm
_01285_,8.6µm
_03998_,8.6µm
_08182_,8.6µm
_08836_,8.6µm
_10476_,8.6µm
_10935_,8.6µm
_11569_,8.6µm
_13806_,8.6µm
_13946_,8.6µm
_14987_,8.6µm
chacha_unit.plaintext\[89\],8.6µm
net2301,8.6µm
net2648,8.6µm
net3746,8.6µm
net4217,8.6µm
_11886_,8.59µm
_04540_,8.58µm
_05259_,8.58µm
_05876_,8.58µm
_06026_,8.58µm
_06060_,8.58µm
_06095_,8.58µm
_06511_,8.58µm
_06691_,8.58µm
_07363_,8.58µm
_08756_,8.58µm
_09560_,8.58µm
_09874_,8.58µm
_10530_,8.58µm
_11867_,8.58µm
_12028_,8.58µm
_13628_,8.58µm
_15289_,8.58µm
chacha_unit.original\[10\]\[7\],8.58µm
chacha_unit.original\[11\]\[9\],8.58µm
chacha_unit.original\[12\]\[1\],8.58µm
chacha_unit.original\[13\]\[4\],8.58µm
chacha_unit.original\[15\]\[22\],8.58µm
chacha_unit.original\[15\]\[24\],8.58µm
chacha_unit.original\[1\]\[16\],8.58µm
chacha_unit.original\[3\]\[15\],8.58µm
chacha_unit.original\[6\]\[15\],8.58µm
chacha_unit.original\[6\]\[18\],8.58µm
chacha_unit.original\[6\]\[6\],8.58µm
chacha_unit.original\[6\]\[7\],8.58µm
chacha_unit.original\[7\]\[18\],8.58µm
chacha_unit.plaintext\[65\],8.58µm
net1857,8.58µm
net3425,8.58µm
_01069_,8.56µm
_01253_,8.56µm
_02262_,8.56µm
_02701_,8.56µm
_03293_,8.56µm
_03767_,8.56µm
_04123_,8.56µm
_06041_,8.56µm
_07438_,8.56µm
_07720_,8.56µm
_08177_,8.56µm
_08228_,8.56µm
_08330_,8.56µm
_08837_,8.56µm
_08966_,8.56µm
_09689_,8.56µm
_10394_,8.56µm
_10989_,8.56µm
_11811_,8.56µm
_12181_,8.56µm
_13822_,8.56µm
chacha_unit.ciphertext\[332\],8.56µm
chacha_unit.ciphertext\[52\],8.56µm
chacha_unit.original\[5\]\[29\],8.56µm
chacha_unit.plaintext\[133\],8.56µm
chacha_unit.plaintext\[459\],8.56µm
chacha_unit.plaintext\[95\],8.56µm
temp_nonce\[47\],8.56µm
net2055,8.56µm
chacha_unit.ciphertext\[335\],8.55µm
_01989_,8.545µm
chacha_unit.original\[4\]\[17\],8.545µm
_03154_,8.54µm
_03329_,8.54µm
_03501_,8.54µm
_03885_,8.54µm
_07344_,8.54µm
_09464_,8.54µm
chacha_unit.original\[0\]\[20\],8.54µm
chacha_unit.original\[0\]\[28\],8.54µm
chacha_unit.original\[1\]\[28\],8.54µm
chacha_unit.original\[3\]\[17\],8.54µm
chacha_unit.original\[9\]\[18\],8.54µm
_00757_,8.52µm
_04105_,8.52µm
_07299_,8.52µm
_07549_,8.52µm
_07550_,8.52µm
_08263_,8.52µm
_08817_,8.52µm
_08818_,8.52µm
_08831_,8.52µm
_09349_,8.52µm
_09393_,8.52µm
_09961_,8.52µm
_10162_,8.52µm
_11739_,8.52µm
_12139_,8.52µm
_13738_,8.52µm
_14623_,8.52µm
temp_key\[150\],8.52µm
temp_key\[42\],8.52µm
net3121,8.52µm
_12106_,8.51µm
_02314_,8.5µm
_03055_,8.5µm
_04893_,8.5µm
_08731_,8.5µm
_08938_,8.5µm
_10145_,8.5µm
_10285_,8.5µm
_10312_,8.5µm
_12559_,8.5µm
_14326_,8.5µm
_15407_,8.5µm
out_key_word[6],8.5µm
out_state_word[25],8.5µm
out_state_word[4],8.5µm
temp_key\[184\],8.5µm
temp_nonce\[18\],8.5µm
net4157,8.5µm
_00520_,8.48µm
_02212_,8.48µm
_03422_,8.48µm
_03614_,8.48µm
_04293_,8.48µm
_05253_,8.48µm
_05921_,8.48µm
_06925_,8.48µm
_08642_,8.48µm
_08781_,8.48µm
_08930_,8.48µm
_09044_,8.48µm
_10906_,8.48µm
_11597_,8.48µm
_11656_,8.48µm
_12547_,8.48µm
_13968_,8.48µm
_14921_,8.48µm
chacha_unit.ciphertext\[142\],8.48µm
chacha_unit.original\[14\]\[8\],8.48µm
temp_nonce\[73\],8.48µm
net2248,8.48µm
net2472,8.48µm
net2551,8.48µm
net2973,8.48µm
net3346,8.48µm
net3418,8.48µm
net3592,8.48µm
out_key_word[11],8.47µm
out_key_word[2],8.47µm
_00049_,8.46µm
_00491_,8.46µm
_02351_,8.46µm
_02925_,8.46µm
_03466_,8.46µm
_05347_,8.46µm
_06743_,8.46µm
_07741_,8.46µm
_10195_,8.46µm
_13392_,8.46µm
chacha_unit.original\[15\]\[18\],8.46µm
chacha_unit.original\[1\]\[26\],8.46µm
chacha_unit.original\[2\]\[24\],8.46µm
chacha_unit.plaintext\[14\],8.46µm
chacha_unit.plaintext\[38\],8.46µm
temp_key\[56\],8.46µm
temp_nonce\[63\],8.46µm
_13196_,8.45µm
_02792_,8.44µm
_03385_,8.44µm
_03814_,8.44µm
_04083_,8.44µm
_05994_,8.44µm
_06588_,8.44µm
_07318_,8.44µm
_08029_,8.44µm
_08036_,8.44µm
_08503_,8.44µm
_08723_,8.44µm
_08786_,8.44µm
_09199_,8.44µm
_09240_,8.44µm
_09300_,8.44µm
_09596_,8.44µm
_09597_,8.44µm
_09734_,8.44µm
_09796_,8.44µm
_09887_,8.44µm
_10017_,8.44µm
_11970_,8.44µm
_13078_,8.44µm
_14259_,8.44µm
_14577_,8.44µm
chacha_unit.ciphertext\[218\],8.44µm
chacha_unit.ciphertext\[437\],8.44µm
chacha_unit.key\[146\],8.44µm
chacha_unit.nonce\[14\],8.44µm
chacha_unit.original\[10\]\[30\],8.44µm
chacha_unit.original\[12\]\[27\],8.44µm
chacha_unit.original\[15\]\[17\],8.44µm
chacha_unit.original\[1\]\[19\],8.44µm
chacha_unit.original\[4\]\[24\],8.44µm
chacha_unit.plaintext\[221\],8.44µm
chacha_unit.plaintext\[371\],8.44µm
chacha_unit.plaintext\[509\],8.44µm
chacha_unit.plaintext\[88\],8.44µm
chacha_unit.plaintext\[8\],8.44µm
temp_key\[244\],8.44µm
clknet_leaf_130_clk,8.44µm
net2986,8.44µm
net3429,8.44µm
net4013,8.44µm
net4198,8.44µm
_06244_,8.42µm
_07908_,8.42µm
_09633_,8.42µm
_11760_,8.42µm
_12311_,8.42µm
_14368_,8.42µm
temp_key\[218\],8.42µm
temp_key\[255\],8.42µm
temp_key\[78\],8.42µm
